iter	RMSE
262	10282.37012
263	10267.17278
264	10254.47637
265	10243.10645
266	10235.00519
267	10233.13044
268	10203.43219
269	10202.52047
270	10174.12941
271	10157.90574
272	10147.06016
273	10146.02097
274	10144.30873
275	10143.47028
276	10127.29502
277	10115.77031
278	10096.95949
279	10077.38827
280	10062.06322
281	10043.15782
282	9988.707334
283	9976.026674
284	9949.927068
285	9930.73115
286	9920.487981
287	9899.917694
288	9881.715336
289	9861.646279
290	9842.947416
291	9823.070521
292	9809.09562
293	9748.347776
294	9728.766558
295	9710.114234
296	9700.989331
297	9689.231205
298	9680.478238
299	9670.992003
300	9654.313585
301	9603.997408
302	9584.326405
303	9563.439545
304	9544.983098
305	9526.873756
306	9511.110275
307	9496.531009
308	9480.050376
309	9460.350711
310	9412.26775
311	9396.078477
312	9339.507109
313	9323.095736
314	9311.176714
315	9271.25051
316	9265.080528
317	9260.240397
318	9243.569602
319	9227.302176
320	9213.921407
321	9208.564082
322	9156.781456
323	9147.904616
324	9141.809235
325	9136.612306
326	9124.069768
327	9108.91959
328	9070.733111
329	9049.183535
330	9044.398487
331	9031.784667
332	9007.300147
333	9005.428792
334	9000.880617
335	8995.708049
336	8985.815192
337	8973.880516
338	8969.559494
339	8965.338979
340	8953.945347
341	8927.655309
342	8923.618725
343	8918.673476
344	8904.059908
345	8857.683726
346	8843.07461
347	8801.120315
348	8797.21569
349	8786.875048
350	8783.227755
351	8761.733201
352	8755.202836
353	8751.644219
354	8745.441497
355	8737.343365
356	8726.723758
357	8723.472253
358	8710.133512
359	8695.080339
360	8681.568724
361	8673.628517
362	8654.090053
363	8632.989775
364	8599.778212
365	8591.720896
366	8582.167919
367	8569.617138
368	8546.497578
369	8540.147649
370	8532.328202
371	8525.366231
372	8485.291795
373	8447.867733
374	8444.623661
375	8438.173098
376	8434.928029
377	8421.679431
378	8411.882838
379	8399.307374
380	8396.328527
381	8388.435256
382	8371.200428
383	8353.196229
384	8315.449043
385	8303.624911
386	8297.614042
387	8282.592714
388	8266.929019
389	8259.317699
390	8225.946901
391	8210.804981
392	8201.138237
393	8186.828878
394	8180.59104
395	8175.340188
396	8169.320741
397	8158.819655
398	8150.090028
399	8135.929093
400	8128.100799
401	8124.081115
402	8110.816991
403	8099.569601
404	8096.637228
405	8093.832017
406	8091.146746
407	8050.258874
408	8044.324138
409	8009.789888
410	8003.489586
411	7991.418541
412	7981.290487
413	7967.945821
414	7963.649209
415	7961.702678
416	7922.366849
417	7905.722977
418	7899.35226
419	7893.774196
420	7886.431562
421	7873.074971
422	7871.295826
423	7867.32279
424	7863.507646
425	7850.602663
426	7848.895196
427	7844.412181
428	7839.474011
429	7828.650538
430	7816.388119
431	7805.892318
432	7800.090184
433	7795.438767
434	7757.317109
435	7752.05327
436	7746.84003
437	7740.604842
438	7736.731567
439	7728.054287
440	7720.704906
441	7710.861853
442	7704.933561
443	7696.431443
444	7679.51582
445	7671.869113
446	7663.428103
447	7655.653654
448	7650.80904
449	7616.378688
450	7613.574921
451	7605.593186
452	7602.604176
453	7579.370238
454	7574.135386
455	7566.909216
456	7534.987966
457	7526.196308
458	7491.122162
459	7483.055315
460	7460.095134
461	7456.39091
462	7449.188465
463	7445.404816
464	7438.237524
465	7434.162081
466	7425.455712
467	7423.17546
468	7389.13306
469	7375.56761
470	7369.530399
471	7364.952275
472	7333.189765
473	7330.5518
474	7323.590453
475	7314.866733
476	7308.807359
477	7305.387171
478	7303.312341
479	7298.067009
480	7294.800242
481	7291.68728
482	7263.610077
483	7262.390144
484	7253.897858
485	7238.20378
486	7233.469061
487	7228.351206
488	7216.420758
489	7215.305936
490	7185.873433
491	7179.681817
492	7171.331808
493	7169.366555
494	7167.304125
495	7162.571224
496	7160.725444
497	7158.031915
498	7154.89094
499	7145.554175
500	7139.342293
501	7117.61225
502	7107.116283
503	7104.354598
504	7102.84302
505	7095.479162
506	7092.45236
507	7086.174052
508	7057.065965
509	7047.297292
510	7035.702065
511	7033.7478
512	7024.386934
513	7021.068299
514	7020.82289
515	7011.87426
516	6981.335673
517	6971.459217
518	6963.988274
519	6961.134514
520	6958.566526
521	6957.633823
522	6949.246437
523	6942.105885
524	6933.202014
525	6927.85065
526	6919.984319
527	6911.706914
528	6904.266982
529	6896.890225
530	6894.439714
531	6891.909341
532	6885.216582
533	6884.220626
534	6881.479971
535	6875.034411
536	6867.434857
537	6840.087432
538	6839.437906
539	6837.596385
540	6831.517841
541	6823.771612
542	6818.140256
543	6810.676791
544	6797.236326
545	6794.659987
546	6788.160171
547	6782.643976
548	6780.149593
549	6777.568154
550	6772.218795
551	6770.685817
552	6761.628665
553	6760.143717
554	6754.099969
555	6751.66143
556	6749.130613
557	6746.920233
558	6745.6831
559	6731.338971
560	6729.973462
561	6727.657128
562	6701.354852
563	6698.98682
564	6693.322419
565	6685.100805
566	6676.701174
567	6671.302652
568	6669.1205
569	6658.308497
570	6657.464738
571	6656.227672
572	6654.187395
573	6649.03869
574	6643.849995
575	6641.892267
576	6640.763742
577	6632.9203
578	6627.843148
579	6624.795601
580	6618.243901
581	6611.551031
582	6604.169248
583	6578.326477
584	6573.629071
585	6567.283882
586	6562.547485
587	6555.655746
588	6549.717364
589	6548.653521
590	6522.48134
591	6510.418297
592	6503.638751
593	6503.238721
594	6502.243798
595	6495.29065
596	6489.540598
597	6483.002086
598	6479.807829
599	6473.825733
600	6472.87989
601	6466.045394
602	6463.336495
603	6459.708338
604	6452.146137
605	6447.839156
606	6446.973436
607	6442.954807
608	6440.339779
609	6439.516133
610	6438.71995
611	6437.46005
612	6429.766922
613	6421.830859
614	6417.753602
615	6405.918561
616	6405.183077
617	6404.449851
618	6400.528831
619	6396.765646
620	6385.530727
621	6375.419857
622	6374.729755
623	6374.079312
624	6361.852605
625	6356.445867
626	6350.403164
627	6348.815953
628	6344.222903
629	6342.072382
630	6326.875909
631	6325.366575
632	6318.725436
633	6312.522149
634	6311.893534
635	6306.136883
636	6304.376322
637	6303.770055
638	6294.319261
639	6290.734394
640	6286.965818
641	6286.421571
642	6283.056656
643	6277.701548
644	6277.153072
645	6273.758239
646	6269.564565
647	6260.387061
648	6250.816283
649	6247.98022
650	6246.470245
651	6244.951879
652	6242.969821
653	6242.612906
654	6234.042734
655	6230.046241
656	6226.910594
657	6221.214798
658	6219.516409
659	6217.482572
660	6209.533913
661	6202.077338
662	6194.638059
663	6190.586742
664	6185.389234
665	6171.00724
666	6170.431876
667	6163.810529
668	6156.670323
669	6153.816529
670	6147.451221
671	6146.017884
672	6144.434053
673	6142.925796
674	6132.302369
675	6127.899357
676	6126.131963
677	6119.315649
678	6113.947438
679	6100.184299
680	6094.938282
681	6091.142181
682	6089.852038
683	6088.977968
684	6088.434103
685	6085.156412
686	6083.579687
687	6082.555974
688	6070.744593
689	6069.511787
690	6056.260148
691	6043.348831
692	6029.93789
693	6028.54471
694	6024.784756
695	6023.437547
696	6016.527772
697	6014.920569
698	6011.497563
699	6007.204286
700	6001.106785
701	5993.102603
702	5991.977397
703	5991.46218
704	5987.973442
705	5978.838178
706	5977.74923
707	5973.601567
708	5972.350082
709	5971.088424
710	5969.599595
711	5968.671909
712	5966.550248
713	5960.737139
714	5958.033187
715	5952.879342
716	5945.873665
717	5944.719255
718	5942.290728
719	5941.920541
720	5938.643605
721	5929.976477
722	5926.943961
723	5925.810823
724	5923.811978
725	5919.816064
726	5918.676681
727	5918.333012
728	5912.138624
729	5905.8403
730	5901.789667
731	5894.843189
732	5892.17648
733	5886.709723
734	5883.153754
735	5876.842808
736	5868.640679
737	5864.983164
738	5864.094834
739	5863.370403
740	5862.400343
741	5861.352165
742	5844.69816
743	5826.537034
744	5821.318013
745	5821.045919
746	5819.215573
747	5817.018056
748	5811.239693
749	5807.335125
750	5795.153813
751	5787.87096
752	5787.026606
753	5782.762483
754	5782.262576
755	5779.585053
756	5776.347212
757	5760.763499
758	5754.87597
759	5743.55234
760	5739.593182
761	5734.555413
762	5726.529547
763	5723.260858
764	5722.395964
765	5716.71652
766	5716.421673
767	5705.564592
768	5700.154339
769	5696.642549
770	5692.486668
771	5687.310574
772	5684.243442
773	5680.719899
774	5678.827806
775	5676.073395
776	5661.760701
777	5645.846929
778	5645.398024
779	5627.234314
780	5613.385163
781	5597.503618
782	5593.212707
783	5583.839375
784	5579.04561
785	5575.820527
786	5575.102605
787	5572.043952
788	5571.614671
789	5565.979326
790	5563.187561
791	5557.721492
792	5554.605811
793	5549.558681
794	5546.414841
795	5541.619462
796	5539.640204
797	5538.845438
798	5524.288071
799	5523.745023
800	5511.870079
801	5501.633418
802	5489.284194
803	5486.543751
804	5472.941898
805	5472.181837
806	5468.310645
807	5455.330596
808	5442.115123
809	5438.480216
810	5429.215285
811	5428.816493
812	5423.01643
813	5421.002579
814	5417.134323
815	5414.177229
816	5410.573553
817	5405.30126
818	5396.309257
819	5393.944241
820	5388.463909
821	5381.563836
822	5380.905947
823	5365.379801
824	5362.62533
825	5353.785814
826	5349.126093
827	5342.847716
828	5342.381358
829	5341.381883
830	5340.096203
831	5335.395897
832	5333.749906
833	5332.771493
834	5322.241974
835	5321.35838
836	5320.593249
837	5315.149236
838	5312.981401
839	5308.723898
840	5302.843183
841	5302.166265
842	5290.642686
843	5289.897147
844	5289.048422
845	5287.881288
846	5287.557283
847	5286.04959
848	5282.375544
849	5279.67382
850	5277.353358
851	5269.359253
852	5263.530721
853	5258.159285
854	5254.648926
855	5251.765626
856	5248.006719
857	5246.346288
858	5245.897701
859	5235.172922
860	5231.20296
861	5225.286798
862	5217.987181
863	5217.025585
864	5216.820332
865	5216.069483
866	5211.817693
867	5211.623168
868	5210.605028
869	5206.773169
870	5202.991806
871	5201.079719
872	5194.206068
873	5192.445219
874	5189.672887
875	5188.729666
876	5185.469383
877	5184.745194
878	5183.80955
879	5181.089204
880	5179.626862
881	5178.22696
882	5171.208893
883	5169.561572
884	5164.401418
885	5148.088788
886	5147.317127
887	5142.019545
888	5141.147173
889	5137.515024
890	5136.778688
891	5130.107902
892	5129.009939
893	5128.558753
894	5127.871898
895	5127.283692
896	5127.070038
897	5122.054046
898	5120.653331
899	5119.338401
900	5113.857378
901	5113.080908
902	5108.051655
903	5106.642885
904	5103.667475
905	5098.68059
906	5097.920912
907	5096.723608
908	5092.504324
909	5087.648421
910	5087.380477
911	5077.791876
912	5076.921029
913	5075.985637
914	5074.769985
915	5061.472599
916	5055.017521
917	5053.495815
918	5050.796999
919	5047.955798
920	5045.175478
921	5044.273205
922	5043.114375
923	5039.237747
924	5038.376456
925	5031.947297
926	5018.197266
927	5013.828536
928	5002.453026
929	5001.625754
930	5001.176264
931	4994.909936
932	4994.506579
933	4993.213581
934	4992.708488
935	4990.985821
936	4990.634845
937	4989.96512
938	4989.232187
939	4988.614215
940	4979.226448
941	4977.879272
942	4977.169816
943	4976.359653
944	4975.740043
945	4972.435256
946	4968.373587
947	4967.286549
948	4961.243055
949	4959.558726
950	4959.253641
951	4958.254838
952	4957.552312
953	4955.405529
954	4952.701101
955	4952.122344
956	4951.578371
957	4950.840371
958	4948.10511
959	4947.427749
960	4945.495269
961	4944.557088
962	4943.794632
963	4943.391673
964	4942.829552
965	4933.732969
966	4933.476809
967	4932.467315
968	4921.991622
969	4921.446569
970	4918.993134
971	4916.214468
972	4905.732489
973	4905.349993
974	4904.961941
975	4898.962034
976	4897.361442
977	4896.769547
978	4896.052345
979	4895.429189
980	4893.242102
981	4891.821142
982	4891.082278
983	4890.367084
984	4886.011429
985	4883.035877
986	4880.738822
987	4873.148225
988	4869.262913
989	4866.027476
990	4865.126018
991	4864.288025
992	4864.070075
993	4860.574124
994	4859.381011
995	4850.393368
996	4849.853502
997	4848.707979
998	4848.374556
999	4842.65556
